,x0,x1,x2,x3,x4,x5,x6,x7,z,d,s,q
269,389,310,146,490,588,303,794,361,1,1,0,0
270,389,310,146,490,588,303,794,361,1,0,0,0
271,51,500,136,474,588,303,794,361,1,0,0,0
272,10,357,341,298,588,303,794,361,1,0,0,0
273,10,378,306,310,610,283,798,333,1,0,0,0
274,10,364,161,324,588,303,794,361,0,0,0,0
275,389,310,146,490,588,303,794,361,0,0,0,0
276,389,310,146,490,631,440,798,467,0,0,1,0
277,389,310,146,490,600,278,798,335,0,0,0,0
278,389,310,146,490,606,310,797,372,1,0,0,0
279,10,337,123,313,588,303,794,361,1,0,0,0
280,10,333,103,315,588,303,794,361,1,0,0,1
281,185,309,344,281,736,300,798,309,1,0,0,0
282,126,280,321,250,588,303,794,361,1,0,0,0
283,389,310,146,490,588,303,794,361,1,0,0,0
284,61,337,239,302,588,303,794,361,1,0,0,0
285,10,355,114,331,588,303,794,361,1,0,0,0
286,15,392,198,350,645,317,798,346,1,0,0,0
287,389,310,146,490,570,309,602,315,1,0,0,0
288,389,310,146,490,484,250,679,280,1,0,0,0
289,10,383,323,293,588,303,794,361,1,0,0,0
290,10,366,243,291,523,332,798,406,1,0,0,1
291,10,390,340,282,479,271,798,321,1,0,0,0
292,10,314,237,278,493,273,780,328,1,0,0,0
293,389,310,146,490,494,286,798,350,1,0,0,0
294,389,310,146,490,608,296,798,333,1,0,0,0
295,46,303,209,278,484,250,795,299,1,0,0,1
296,10,364,300,318,588,303,794,361,1,0,0,0
297,389,310,146,490,602,311,733,353,1,0,0,1
298,389,310,146,490,709,332,798,351,1,0,0,0
299,389,310,146,490,588,303,794,361,1,0,0,0
300,17,497,146,477,588,303,794,361,1,0,0,0
301,141,291,317,260,588,303,794,361,1,0,0,0
302,14,314,216,275,612,312,772,349,1,0,0,0
303,389,310,146,490,577,298,666,316,1,0,0,1
304,389,310,146,490,588,303,794,361,1,1,0,0
305,389,310,146,490,588,303,794,361,1,0,0,0
306,389,310,146,490,588,303,794,361,1,0,0,0
307,389,310,146,490,588,303,794,361,1,0,0,0
308,389,310,146,490,588,303,794,361,1,1,0,0
309,389,310,146,490,588,303,794,361,1,0,0,0
310,389,310,146,490,435,261,785,316,1,0,0,0
311,389,310,146,490,443,270,798,326,1,0,0,0
312,389,310,146,490,423,250,784,346,1,0,0,0
313,15,332,257,289,527,299,649,325,1,0,0,0
314,389,310,146,490,519,287,780,362,1,0,0,0
315,389,310,146,490,588,303,794,361,0,0,1,0
316,25,499,149,481,588,303,794,361,0,1,1,0
317,389,310,146,490,588,303,794,361,0,0,1,0
318,389,310,146,490,588,303,794,361,1,0,0,0
319,389,310,146,490,588,303,794,361,1,0,0,0
320,389,310,146,490,588,303,794,361,1,0,0,0
321,46,391,254,324,466,254,689,286,1,0,0,0
322,389,310,146,490,459,264,798,323,1,0,0,0
323,389,310,146,490,464,269,777,330,1,0,0,0
324,389,310,146,490,451,250,791,322,1,0,0,0
325,389,310,146,490,588,303,794,361,1,0,0,0
326,67,381,235,339,588,303,794,361,1,0,0,0
327,389,310,146,490,588,303,794,361,1,0,0,0
