Unnamed: 0.1,Unnamed: 0,x,y,w,h,label,z,d,s,q
318,318,22,222,204,346,1,1,0,0,0
319,319,-1,184,163,332,1,1,0,0,0
320,320,44,212,116,312,1,1,0,0,0
321,321,404,284,466,320,1,1,0,0,0
322,322,273,211,443,327,1,0,0,0,0
323,323,260,223,344,319,1,0,0,0,1
324,324,571,130,807,466,1,1,0,0,0
325,325,4,230,168,386,1,0,0,0,0
326,326,154,118,658,500,1,1,0,0,0
327,327,379,182,641,382,1,1,1,0,0
328,328,318,214,568,352,1,1,0,0,0
329,329,296,236,504,366,1,1,1,0,0
330,330,318,249,400,343,1,1,0,0,1
331,331,259,240,437,360,1,1,1,0,0
332,332,426,228,590,362,1,1,1,0,0
333,333,50,264,158,326,1,1,0,0,0
334,334,96,246,196,340,1,1,0,0,1
335,335,58,244,222,328,1,1,1,0,0
336,336,94,255,166,281,1,1,0,0,0
337,337,568,232,620,300,1,1,0,0,0
338,338,523,136,803,460,1,1,0,0,0
339,339,224,256,246,270,1,1,0,0,0
340,340,341,240,363,254,1,1,0,0,0
341,341,409,240,461,262,1,1,0,0,0
342,342,446,244,504,270,1,1,0,0,0
343,343,644,258,744,364,1,1,0,0,0
344,344,118,236,212,306,1,1,1,0,0
345,345,173,236,247,266,1,0,0,0,0
346,346,390,202,454,240,1,0,0,0,0
347,347,340,190,476,306,1,1,0,0,0
348,348,-8,262,150,342,1,1,0,0,0
349,349,414,250,434,266,1,0,0,1,0
350,350,524,242,586,268,1,1,0,0,0
351,351,136,246,212,274,1,0,0,0,1
352,352,342,231,412,265,1,0,0,0,1
353,353,328,205,442,299,1,0,0,0,1
354,354,380,193,536,323,1,1,0,0,1
355,355,568,164,798,410,1,1,0,0,0
356,356,279,266,303,280,1,1,1,0,0
357,357,729,236,763,248,1,1,0,0,0
358,358,114,248,206,280,1,0,0,1,0
359,359,394,239,596,385,1,1,0,0,0
360,360,399,221,541,317,1,0,0,1,0
361,361,396,220,626,360,1,1,0,0,0
362,362,634,246,686,270,1,1,0,0,0
363,363,-2,228,352,390,1,1,0,0,0
364,364,6,234,164,306,1,1,0,0,1
365,365,5,224,165,452,1,1,0,0,0
366,366,106,246,180,270,1,0,0,0,0
367,367,418,208,472,290,1,0,0,0,0
368,368,362,203,528,337,1,0,0,1,0
369,369,352,202,524,322,1,0,0,0,0
370,370,395,239,445,297,1,1,1,0,0
371,371,488,262,564,296,1,1,0,0,0
372,372,344,252,364,264,1,1,0,0,0
373,373,259,250,279,270,1,1,0,0,0
374,374,179,245,235,273,1,1,0,0,0
375,375,532,277,596,331,1,1,0,0,0
376,376,475,276,491,294,1,1,0,0,0
377,377,118,260,300,336,1,1,0,0,0
378,378,488,264,636,346,1,1,0,0,0
379,379,534,248,724,356,1,1,0,0,0
380,380,497,271,521,291,1,1,0,0,0
